,ExpermientName,Subject,Session,StartTime,CurrentTime,Step,Block,Scenario,TimeInCondition,Cue,Startle,Shock,FearRating,CueStart,CueEnd,InstructionScreenNum,HabituationNumShockType,VAS_score,VAS_type,VAS_RT,ExperimentName,ShockType
0,,,1,1779537239.697122,35.32,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.37,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.42,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.48,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.53,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.58,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.63,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.68,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.73,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.78,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.84,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.89,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.94,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,35.99,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.04,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.09,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.15,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.2,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.25,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.3,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.35,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.4,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.45,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.51,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.56,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.61,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.66,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.71,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.76,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.81,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.87,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.92,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,36.97,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.02,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.07,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.12,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.17,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.22,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.28,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.33,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.38,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.43,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.48,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.54,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.59,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.64,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.69,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.74,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.79,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.85,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.9,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,37.95,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.0,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.05,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.1,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.15,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.2,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.26,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.31,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.36,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.41,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.46,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.51,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.56,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.61,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.67,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.72,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.77,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.82,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.87,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.92,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,38.97,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.02,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.08,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.13,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.18,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.23,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.28,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.33,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.38,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.43,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.49,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.54,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.59,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.64,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.69,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.74,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.79,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.84,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.9,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,39.95,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.0,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.05,Instructions,,,,,,,,,,12,,,,,Fort,Sound
0,,,1,1779537239.697122,40.1,Instructions,,,,,,,,,,12,,,,,Fort,Sound
