,Time,ExpermientName,Subject,StartTime,CurrentTime,Section,Session,Round,Subtrial,ScenarioIndex,Reward_magnitude,Punishment_magnitude,DistanceAtStart,DistanceFromDoor_SubTrial,CurrentDistance,Distance_max,Distance_min,Distance_lock,RoundStartTime,DoorAction_RT,Door_opened,DoorStatus,Door_outcome,DidWin,Door_anticipation_time,ITI_duration,Total_coins,VASQuestionNumber,VAS_score,VAS_type,VAS_RT,Q_type,Q_score,Q_RT,ExperimentName
0,,,178,1708866013.5259142,2375.59,TaskRun2,1,2,34,53,1,3,50,32,32,50,32,0,2361.49,3603.1,1,opened,reward,1,3541.0074252737095,1.1438241038873904,0,,,,,,,,Doors
0,,,178,1708866013.5259142,2389.74,TaskRun2,1,2,35,62,2,5,50,10,10,50,10,0,2376.0,3258.44,0,closed,,,3915.9714974307717,1.6516344473444513,0,,,,,,,,Doors
0,,,178,1708866013.5259142,2402.67,TaskRun2,1,2,36,83,5,5,50,50,50,50,50,0,2390.2,1015.13,1,opened,reward,1,3726.7613812654736,1.846582450604088,5,,,,,,,,Doors
0,,,178,1708866013.5259142,2417.08,TaskRun2,1,2,37,54,1,4,50,16,16,50,16,0,2403.27,3506.05,0,closed,,,3700.353680390086,1.6680805961837764,5,,,,,,,,Doors
0,,,178,1708866013.5259142,2431.48,TaskRun2,1,2,38,56,1,6,50,0,0,50,0,0,2417.58,4235.67,0,closed,,,3443.2684349818705,1.1752299476449695,5,,,,,,,,Doors
0,,,178,1708866013.5259142,2447.17,TaskRun2,1,2,39,97,7,5,50,60,60,60,50,0,2431.95,4242.0,1,opened,reward,1,3699.6898704271885,1.5346120154716674,12,,,,,,,,Doors
0,,,178,1708866013.5259142,2460.67,TaskRun2,1,2,40,90,6,5,50,58,58,58,50,0,2447.65,2434.72,1,opened,punishment,0,3701.7273088766838,1.2673633627879224,7,,,,,,,,Doors
0,,,178,1708866013.5259142,2473.1,TaskRun2,1,2,41,80,5,2,50,62,62,62,50,0,2461.09,2634.95,0,closed,,,3414.6985086496934,1.1135472441303818,7,,,,,,,,Doors
0,,,178,1708866013.5259142,2487.3,TaskRun2,1,2,42,64,2,7,50,10,10,50,10,0,2473.62,3180.32,0,closed,,,3900.8120336467377,1.6750105972327072,7,,,,,,,,Doors
0,,,178,1708866013.5259142,2499.5,TaskRun2,1,2,43,51,1,1,50,50,50,50,50,0,2487.95,847.48,1,opened,punishment,0,3419.7230179384696,1.5327159709476543,6,,,,,,,,Doors
0,,,178,1708866013.5259142,2513.72,TaskRun2,1,2,44,84,5,6,50,39,39,50,39,0,2500.03,3129.62,0,closed,,,3611.7229819446316,2.072431223333548,6,,,,,,,,Doors
0,,,178,1708866013.5259142,2527.13,TaskRun2,1,2,45,72,4,1,50,75,75,75,50,0,2514.31,2785.55,0,closed,,,3083.92298670563,2.0112397201133616,6,,,,,,,,Doors
0,,,178,1708866013.5259142,2542.1,TaskRun2,1,2,46,96,7,4,50,77,77,77,50,0,2527.8,3295.33,0,closed,,,3975.725827814017,2.0527496468021544,6,,,,,,,,Doors
0,,,178,1708866013.5259142,2557.19,TaskRun2,1,2,47,86,6,1,50,100,100,100,50,0,2542.8,3357.41,1,opened,punishment,0,3177.722046306407,2.1730347212587424,5,,,,,,,,Doors
0,,,178,1708866013.5259142,2571.98,TaskRun2,1,2,48,71,3,7,50,6,6,50,6,0,2557.83,3905.27,0,closed,,,3044.724475230557,2.31435466827706,5,,,,,,,,Doors
0,,,178,1708866013.5259142,2584.64,TaskRun2,1,2,49,68,3,4,50,32,32,50,32,0,2572.61,2182.17,0,closed,,,3776.317111516634,1.1168992484775815,5,,,,,,,,Doors
0,,,178,1708866013.5259142,2589.24,VAS3,1,2,,,,,,,,,,,,,,,,,,,,1,2,Anxiety,4.3756163120269775,,,,Doors
0,,,178,1708866013.5259142,2597.03,VAS3,1,2,,,,,,,,,,,,,,,,,,,,2,72,Avoidance,7.556638956069946,,,,Doors
0,,,178,1708866013.5259142,2603.13,VAS3,1,2,,,,,,,,,,,,,,,,,,,,3,28,Tired,5.881521701812744,,,,Doors
0,,,178,1708866013.5259142,2608.09,VAS3,1,2,,,,,,,,,,,,,,,,,,,,4,74,Mood,4.732885122299194,,,,Doors
0,,,178,1708866013.5259142,2616.75,Question,1,3,,,,,,,,,,,,,,,,,,,,1,35.0,,,Won,36,8.433745384216309,Doors
0,,,178,1708866013.5259142,2622.36,Question,1,3,,,,,,,,,,,,,,,,,,,,2,73.0,,,Lost,74,5.396088600158691,Doors
0,,,178,1708866013.5259142,2628.94,Question,1,3,,,,,,,,,,,,,,,,,,,,3,65.0,,,Monster,66,6.392436265945435,Doors
0,,,178,1708866013.5259142,2634.21,Question,1,3,,,,,,,,,,,,,,,,,,,,4,35.0,,,Coins,36,5.083867311477661,Doors
0,,,178,1708866013.5259142,2638.86,Question,1,3,,,,,,,,,,,,,,,,,,,,5,,,,Performance,50,4.465125560760498,Doors
