Event.Nr	CDA.nSCR	CDA.Latency	CDA.AmpSum	CDA.SCR	CDA.ISCR	CDA.PhasicMax	CDA.Tonic	TTP.nSCR	TTP.Latency	TTP.AmpSum	Global.Mean	Global.MaxDeflection	Event.NID	Event.Name
158	 3	2.1182	0.0631	0.0017	0.2759	0.1337	17.7431	 1	1.6932	0.0145	17.7805	0.0203	 26	"26"
159	 1	1.7818	0.0107	0.0006	0.0958	0.1115	17.6094	 0	   NaN	0.0000	17.6422	0.0098	 80	"80"
160	 0	   NaN	0.0000	0.0006	0.0891	0.0621	17.5307	 0	   NaN	0.0000	17.5552	0.0015	 81	"81"
161	 0	   NaN	0.0000	0.0003	0.0510	0.0480	17.4405	 0	   NaN	0.0000	17.4567	0.0014	 82	"82"
162	 0	   NaN	0.0000	0.0001	0.0194	0.0578	17.3444	 0	   NaN	0.0000	17.3524	0.0015	 83	"83"
163	 1	2.8497	0.0188	0.0005	0.0812	0.1458	17.2310	 1	2.8247	0.0106	17.2461	0.0106	 84	"84"
164	 0	   NaN	0.0000	0.0008	0.1351	0.0833	17.1433	 0	   NaN	0.0000	17.1643	0.0054	 85	"85"
165	 0	   NaN	0.0000	0.0000	0.0000	0.0452	21.1175	 0	   NaN	0.0000	21.2425	0.0000	 86	"86"
166	 5	0.4938	0.2051	0.0043	0.6886	0.2892	20.0275	 0	   NaN	0.0000	20.1935	0.0018	 60	"60"
167	 3	0.1562	0.1622	0.0036	0.5745	0.2224	19.7041	 0	   NaN	0.0000	19.8613	0.0000	 61	"61"
168	 2	0.1393	0.0310	0.0010	0.1524	0.1318	19.3683	 0	   NaN	0.0000	19.4383	0.0004	 62	"62"
169	 6	0.0233	0.1085	0.0021	0.3329	0.1701	19.0693	 0	   NaN	0.0000	19.1243	0.0026	 63	"63"
170	 4	0.3902	0.0707	0.0016	0.2489	0.1272	18.8838	 0	   NaN	0.0000	18.9478	0.0027	 64	"64"
171	 3	0.6357	0.0330	0.0011	0.1714	0.1103	18.7034	 0	   NaN	0.0000	18.7566	0.0016	 65	"65"
172	 0	   NaN	0.0000	0.0006	0.0969	0.0659	17.8971	 0	   NaN	0.0000	17.9167	0.0019	 66	"66"
